DATE,CTPCPI
1975-01-01,7367.0
1976-01-01,7951.0
1977-01-01,8752.0
1978-01-01,9720.0
1979-01-01,10908.0
1980-01-01,12365.0
1981-01-01,13821.0
1982-01-01,14878.0
1983-01-01,15798.0
1984-01-01,17572.0
1985-01-01,18743.0
1986-01-01,20024.0
1987-01-01,21693.0
1988-01-01,23738.0
1989-01-01,25659.0
1990-01-01,26394.0
1991-01-01,26588.0
1992-01-01,28560.0
1993-01-01,29417.0
1994-01-01,30188.0
1995-01-01,31780.0
1996-01-01,33191.0
1997-01-01,35228.0
1998-01-01,37827.0
1999-01-01,39700.0
2000-01-01,43070.0
2001-01-01,45153.0
2002-01-01,44697.0
2003-01-01,44997.0
2004-01-01,47238.0
2005-01-01,49738.0
2006-01-01,53696.0
2007-01-01,57684.0
2008-01-01,60970.0
2009-01-01,59684.0
2010-01-01,61743.0
2011-01-01,63132.0
2012-01-01,64121.0
2013-01-01,62647.0
2014-01-01,65498.0
2015-01-01,67321.0
2016-01-01,68680.0
2017-01-01,70011.0
2018-01-01,72926.0
2019-01-01,75533.0
2020-01-01,78463.0
2021-01-01,83294.0
